frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.85616666,0.14383334,0.0,0.0,0.0
2,0.846,0.152,0.002,0.0,0.0
3,0.8453889,0.14777778,0.0068333335,0.0,0.0
4,0.8453889,0.14672223,0.007888889,0.0,0.0
5,0.8453889,0.14605555,0.008555556,0.0,0.0
6,0.8453889,0.14577778,0.008833333,0.0,0.0
7,0.8453889,0.14544444,0.009166666,0.0,0.0
8,0.8453889,0.14494444,0.009666666,0.0,0.0
9,0.8453889,0.14444445,0.0101666665,0.0,0.0
10,0.84533334,0.14388889,0.010777778,0.0,0.0
11,0.8452778,0.14361112,0.011111111,0.0,0.0
12,0.8452778,0.14338888,0.011333333,0.0,0.0
13,0.8452778,0.14316666,0.011555555,0.0,0.0
14,0.8451667,0.14311111,0.011722222,0.0,0.0
15,0.8451667,0.14305556,0.011777778,0.0,0.0
16,0.8451667,0.143,0.011833333,0.0,0.0
17,0.8451667,0.14277777,0.012055555,0.0,0.0
18,0.8451667,0.14261112,0.012222222,0.0,0.0
19,0.8451667,0.14233333,0.0125,0.0,0.0
20,0.84511113,0.14205556,0.012833334,0.0,0.0
21,0.8450556,0.14205556,0.012888889,0.0,0.0
22,0.8449444,0.14194444,0.013111111,0.0,0.0
23,0.8449444,0.14194444,0.013111111,0.0,0.0
24,0.84488887,0.14183334,0.0132777775,0.0,0.0
25,0.84488887,0.14183334,0.0132777775,0.0,0.0
26,0.8448333,0.14172222,0.013444444,0.0,0.0
27,0.8446111,0.14194444,0.013444444,0.0,0.0
28,0.84455556,0.14183334,0.013611111,0.0,0.0
29,0.84455556,0.14172222,0.013722222,0.0,0.0
30,0.8445,0.14177778,0.013722222,0.0,0.0
31,0.84433335,0.14194444,0.013722222,0.0,0.0
32,0.84422225,0.14194444,0.013833334,0.0,0.0
33,0.8441667,0.14194444,0.013888889,0.0,0.0
34,0.8441667,0.14188889,0.013944444,0.0,0.0
35,0.8441111,0.14188889,0.014,0.0,0.0
36,0.84394443,0.14188889,0.014166667,0.0,0.0
37,0.8437778,0.142,0.014222222,0.0,0.0
38,0.8437778,0.14194444,0.014277778,0.0,0.0
39,0.8437222,0.14188889,0.014388889,0.0,0.0
40,0.8436667,0.14183334,0.0145,0.0,0.0
41,0.8436111,0.14188889,0.0145,0.0,0.0
42,0.8436111,0.14177778,0.014611111,0.0,0.0
43,0.8435,0.14188889,0.014611111,0.0,0.0
44,0.8433889,0.14194444,0.014666666,0.0,0.0
45,0.8433333,0.142,0.014666666,0.0,0.0
46,0.8432222,0.142,0.014777778,0.0,0.0
47,0.8431111,0.142,0.014888889,0.0,0.0
48,0.84305555,0.142,0.014944444,0.0,0.0
49,0.84305555,0.14188889,0.015055556,0.0,0.0
50,0.843,0.14188889,0.015111111,0.0,0.0
51,0.8428889,0.14177778,0.015333333,0.0,0.0
52,0.8428889,0.14172222,0.015388889,0.0,0.0
53,0.8427778,0.14177778,0.0154444445,0.0,0.0
54,0.84272224,0.14183334,0.0154444445,0.0,0.0
55,0.84261113,0.14194444,0.0154444445,0.0,0.0
56,0.8425,0.14194444,0.015555556,0.0,0.0
57,0.84238887,0.142,0.015611111,0.0,0.0
58,0.84238887,0.142,0.015611111,0.0,0.0
59,0.84238887,0.142,0.015611111,0.0,0.0
60,0.84227777,0.14211111,0.015611111,0.0,0.0
61,0.8422222,0.14211111,0.015666667,0.0,0.0
62,0.84216666,0.14211111,0.015722223,0.0,0.0
63,0.84205556,0.14222223,0.015722223,0.0,0.0
64,0.84205556,0.14222223,0.015722223,0.0,0.0
65,0.842,0.14227778,0.015722223,0.0,0.0
66,0.84194446,0.14222223,0.015833333,0.0,0.0
67,0.84166664,0.14233333,0.016,0.0,0.0
68,0.8415,0.14244445,0.016055556,0.0,0.0
69,0.8413333,0.14255555,0.016111111,0.0,0.0
70,0.8411667,0.1425,0.016277777,5.5555556E-5,0.0
71,0.8410556,0.14255555,0.016333334,5.5555556E-5,0.0
72,0.84094447,0.14266667,0.016277777,1.1111111E-4,0.0
73,0.84077775,0.14277777,0.016222222,1.6666666E-4,5.5555556E-5
74,0.8407222,0.14277777,0.016277777,1.6666666E-4,5.5555556E-5
75,0.8072778,0.17555556,0.016944444,1.1111111E-4,1.1111111E-4
76,0.7980555,0.16572222,0.035888888,2.2222222E-4,1.1111111E-4
77,0.7967778,0.15666667,0.045666665,6.6666666E-4,2.2222222E-4
78,0.7964444,0.155,0.047055557,7.7777775E-4,7.222222E-4
79,0.7962222,0.15438889,0.04788889,2.2222222E-4,0.0012777778
80,0.796,0.15411112,0.048333332,2.2222222E-4,0.0013333333
81,0.7951111,0.15472223,0.048611112,1.6666666E-4,0.0013888889
82,0.7945,0.15494445,0.049,1.6666666E-4,0.0013888889
83,0.7937222,0.15522222,0.0495,1.6666666E-4,0.0013888889
84,0.7927778,0.15566666,0.05,1.6666666E-4,0.0013888889
85,0.7915,0.15633333,0.050611112,1.6666666E-4,0.0013888889
86,0.7901111,0.15716666,0.051166665,1.6666666E-4,0.0013888889
87,0.78855556,0.15816666,0.05172222,1.6666666E-4,0.0013888889
88,0.78694445,0.15933333,0.052166667,1.6666666E-4,0.0013888889
89,0.7851667,0.16077778,0.0525,1.6666666E-4,0.0013888889
90,0.7841667,0.16138889,0.05288889,1.6666666E-4,0.0013888889
91,0.7825,0.16272222,0.053166665,2.2222222E-4,0.0013888889
92,0.7811667,0.16372222,0.0535,2.2222222E-4,0.0013888889
93,0.7788333,0.16572222,0.05372222,3.3333333E-4,0.0013888889
94,0.77727777,0.16716667,0.053777777,3.3333333E-4,0.0014444444
95,0.7756111,0.16855556,0.054,3.8888888E-4,0.0014444444
