frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.8578333,0.14216666,0.0,0.0,0.0
2,0.8489444,0.14966667,0.0013888889,0.0,0.0
3,0.84855556,0.14522222,0.006222222,0.0,0.0
4,0.84855556,0.14433333,0.007111111,0.0,0.0
5,0.84855556,0.1435,0.007944444,0.0,0.0
6,0.84855556,0.14288889,0.008555556,0.0,0.0
7,0.84855556,0.14233333,0.009111111,0.0,0.0
8,0.84855556,0.14183334,0.009611111,0.0,0.0
9,0.8485,0.14161111,0.009888889,0.0,0.0
10,0.8485,0.14133333,0.0101666665,0.0,0.0
11,0.8485,0.14077778,0.010722222,0.0,0.0
12,0.84844446,0.14066666,0.0108888885,0.0,0.0
13,0.84844446,0.1405,0.011055555,0.0,0.0
14,0.84844446,0.14038889,0.011166667,0.0,0.0
15,0.84844446,0.14016667,0.011388889,0.0,0.0
16,0.84844446,0.14011112,0.011444445,0.0,0.0
17,0.84844446,0.14,0.011555555,0.0,0.0
18,0.84844446,0.13983333,0.011722222,0.0,0.0
19,0.84844446,0.13972223,0.011833333,0.0,0.0
20,0.84844446,0.13966666,0.011888889,0.0,0.0
21,0.84833336,0.13966666,0.012,0.0,0.0
22,0.84833336,0.13961111,0.012055555,0.0,0.0
23,0.84833336,0.13944444,0.012222222,0.0,0.0
24,0.84833336,0.13933334,0.0123333335,0.0,0.0
25,0.84833336,0.13916667,0.0125,0.0,0.0
26,0.84833336,0.139,0.012666667,0.0,0.0
27,0.84833336,0.1388889,0.012777777,0.0,0.0
28,0.8482778,0.13883333,0.012888889,0.0,0.0
29,0.8482778,0.13883333,0.012888889,0.0,0.0
30,0.8482222,0.13877778,0.013,0.0,0.0
31,0.8481111,0.1388889,0.013,0.0,0.0
32,0.8481111,0.13877778,0.013111111,0.0,0.0
33,0.84805554,0.13877778,0.013166667,0.0,0.0
34,0.848,0.13883333,0.013166667,0.0,0.0
35,0.84794444,0.1388889,0.013166667,0.0,0.0
36,0.84794444,0.13877778,0.0132777775,0.0,0.0
37,0.84783334,0.13883333,0.013333334,0.0,0.0
38,0.8476111,0.13905555,0.013333334,0.0,0.0
39,0.8475556,0.13911112,0.013333334,0.0,0.0
40,0.8475,0.13905555,0.013444444,0.0,0.0
41,0.8475,0.13905555,0.013444444,0.0,0.0
42,0.8474444,0.13905555,0.0135,0.0,0.0
43,0.84727776,0.13916667,0.013555556,0.0,0.0
44,0.84716666,0.13927777,0.013555556,0.0,0.0
45,0.84716666,0.13922222,0.013611111,0.0,0.0
46,0.8471111,0.13922222,0.013666667,0.0,0.0
47,0.8471111,0.13911112,0.013777778,0.0,0.0
48,0.84705555,0.13911112,0.013833334,0.0,0.0
49,0.847,0.13911112,0.013888889,0.0,0.0
50,0.847,0.13911112,0.013888889,0.0,0.0
51,0.8468889,0.13911112,0.014,0.0,0.0
52,0.84683335,0.13911112,0.014055556,0.0,0.0
53,0.84672225,0.13916667,0.014111111,0.0,0.0
54,0.8466667,0.13916667,0.014166667,0.0,0.0
55,0.8465,0.13922222,0.014277778,0.0,0.0
56,0.8463889,0.13922222,0.014388889,0.0,0.0
57,0.8463333,0.13927777,0.014388889,0.0,0.0
58,0.8462222,0.13933334,0.014444444,0.0,0.0
59,0.8461111,0.13938889,0.0145,0.0,0.0
60,0.84594446,0.13955556,0.0145,0.0,0.0
61,0.84594446,0.13955556,0.0145,0.0,0.0
62,0.84577775,0.13972223,0.0145,0.0,0.0
63,0.84577775,0.13961111,0.014611111,0.0,0.0
64,0.84566665,0.13972223,0.014611111,0.0,0.0
65,0.8455,0.13983333,0.014666666,0.0,0.0
66,0.84544444,0.13977778,0.014777778,0.0,0.0
67,0.8453889,0.13972223,0.014888889,0.0,0.0
68,0.84533334,0.13972223,0.014944444,0.0,0.0
69,0.84533334,0.13966666,0.015,0.0,0.0
70,0.8451667,0.13977778,0.015055556,0.0,0.0
71,0.8450556,0.13983333,0.015111111,0.0,0.0
72,0.8448333,0.14005555,0.015111111,0.0,0.0
73,0.84477776,0.14011112,0.015111111,0.0,0.0
74,0.84477776,0.13994445,0.015277778,0.0,0.0
75,0.8127222,0.1713889,0.015888888,0.0,0.0
76,0.8042222,0.16166666,0.034111112,0.0,0.0
77,0.8027222,0.15411112,0.043166667,0.0,0.0
78,0.8026111,0.15183334,0.045555554,0.0,0.0
79,0.8025,0.15116666,0.04633333,0.0,0.0
80,0.802,0.15122223,0.046777777,0.0,0.0
81,0.80127776,0.15127778,0.047444444,0.0,0.0
82,0.80083334,0.15133333,0.047833335,0.0,0.0
83,0.80016667,0.15166667,0.048166666,0.0,0.0
84,0.7993889,0.152,0.048611112,0.0,0.0
85,0.79833335,0.15272222,0.048944443,0.0,0.0
86,0.7971111,0.15377778,0.049111113,0.0,0.0
87,0.7958889,0.15466666,0.049444444,0.0,0.0
88,0.79466665,0.15572222,0.04961111,0.0,0.0
89,0.7932778,0.15661111,0.05011111,0.0,0.0
90,0.7923889,0.15705556,0.050555557,0.0,0.0
91,0.7915,0.15777777,0.050722223,0.0,0.0
92,0.79033333,0.1585,0.051166665,0.0,0.0
93,0.7888889,0.1596111,0.0515,0.0,0.0
94,0.7871111,0.16116667,0.05172222,0.0,0.0
95,0.7857222,0.16233334,0.051944446,0.0,0.0
96,0.78405553,0.16372222,0.052222222,0.0,0.0
97,0.7825,0.16505556,0.052333333,1.1111111E-4,0.0
98,0.78055555,0.16666667,0.052666668,1.1111111E-4,0.0
99,0.77805555,0.16872223,0.053055555,1.1111111E-4,5.5555556E-5
100,0.7756111,0.17094444,0.05327778,5.5555556E-5,1.1111111E-4
101,0.77294445,0.17322223,0.053666666,5.5555556E-5,1.1111111E-4
102,0.77022225,0.17538889,0.054111112,1.6666666E-4,1.1111111E-4
103,0.76677775,0.17866667,0.054277778,5.5555556E-5,2.2222222E-4
104,0.76394445,0.181,0.05477778,5.5555556E-5,2.2222222E-4
105,0.7602222,0.18461111,0.05488889,5.5555556E-5,2.2222222E-4
106,0.7565,0.188,0.05522222,5.5555556E-5,2.2222222E-4
107,0.75266665,0.19161111,0.055444445,5.5555556E-5,2.2222222E-4
108,0.7477222,0.19627778,0.05572222,5.5555556E-5,2.2222222E-4
109,0.7423889,0.20116666,0.056166667,5.5555556E-5,2.2222222E-4
110,0.7366667,0.20666666,0.05638889,5.5555556E-5,2.2222222E-4
111,0.7315,0.2115,0.056722224,5.5555556E-5,2.2222222E-4
112,0.7257778,0.21694444,0.057,5.5555556E-5,2.2222222E-4
113,0.72083336,0.22127777,0.05761111,5.5555556E-5,2.2222222E-4
114,0.71455556,0.22711112,0.058055557,5.5555556E-5,2.2222222E-4
115,0.70827776,0.23288889,0.058555555,5.5555556E-5,2.2222222E-4
116,0.7025,0.23822223,0.059,5.5555556E-5,2.2222222E-4
117,0.69472224,0.2455,0.0595,5.5555556E-5,2.2222222E-4
118,0.6878333,0.2515,0.06038889,5.5555556E-5,2.2222222E-4
119,0.6801111,0.25833333,0.061,3.3333333E-4,2.2222222E-4
120,0.67227775,0.26544446,0.061666667,2.2222222E-4,3.8888888E-4
