frame,zone1_ratio,zone2_ratio,zone3_ratio,zone4_ratio,zone5_ratio
1,0.85911113,0.14088888,0.0,0.0,0.0
2,0.84944445,0.14844444,0.002111111,0.0,0.0
3,0.8487778,0.14522222,0.006,0.0,0.0
4,0.84866667,0.14438888,0.0069444445,0.0,0.0
5,0.84866667,0.14394444,0.007388889,0.0,0.0
6,0.84866667,0.14372222,0.0076111113,0.0,0.0
7,0.84866667,0.14327778,0.008055556,0.0,0.0
8,0.84866667,0.14288889,0.008444444,0.0,0.0
9,0.8486111,0.14277777,0.008611111,0.0,0.0
10,0.8486111,0.14227778,0.009111111,0.0,0.0
11,0.8486111,0.14177778,0.009611111,0.0,0.0
12,0.8486111,0.14144444,0.0099444445,0.0,0.0
13,0.84855556,0.14144444,0.01,0.0,0.0
14,0.8485,0.1413889,0.010111111,0.0,0.0
15,0.8485,0.14122222,0.010277778,0.0,0.0
16,0.8483889,0.14105555,0.010555555,0.0,0.0
17,0.8483889,0.141,0.010611111,0.0,0.0
18,0.8483889,0.14088888,0.010722222,0.0,0.0
19,0.8483889,0.14077778,0.010833333,0.0,0.0
20,0.8483889,0.14044444,0.011166667,0.0,0.0
21,0.84833336,0.14044444,0.011222222,0.0,0.0
22,0.84833336,0.14033334,0.011333333,0.0,0.0
23,0.84833336,0.14016667,0.0115,0.0,0.0
24,0.84833336,0.14005555,0.011611111,0.0,0.0
25,0.8482778,0.14005555,0.011666667,0.0,0.0
26,0.8482778,0.14,0.011722222,0.0,0.0
27,0.84805554,0.14016667,0.011777778,0.0,0.0
28,0.84805554,0.14011112,0.011833333,0.0,0.0
29,0.848,0.14011112,0.011888889,0.0,0.0
30,0.8478889,0.14016667,0.011944445,0.0,0.0
31,0.8478889,0.14005555,0.012055555,0.0,0.0
32,0.84783334,0.14,0.012166667,0.0,0.0
33,0.84783334,0.13994445,0.012222222,0.0,0.0
34,0.84783334,0.13994445,0.012222222,0.0,0.0
35,0.8476667,0.14011112,0.012222222,0.0,0.0
36,0.8475556,0.14022222,0.012222222,0.0,0.0
37,0.8474444,0.14016667,0.012388889,0.0,0.0
38,0.84738886,0.14016667,0.012444444,0.0,0.0
39,0.84727776,0.14005555,0.0125,1.6666666E-4,0.0
40,0.84716666,0.14011112,0.012555555,5.5555556E-5,1.1111111E-4
41,0.84694445,0.14033334,0.012555555,5.5555556E-5,1.1111111E-4
42,0.84683335,0.14038889,0.012611111,5.5555556E-5,1.1111111E-4
43,0.8466667,0.14038889,0.012777777,5.5555556E-5,1.1111111E-4
44,0.8465,0.14044444,0.012888889,5.5555556E-5,1.1111111E-4
45,0.8464444,0.14033334,0.0130555555,5.5555556E-5,1.1111111E-4
46,0.8463889,0.14033334,0.013111111,5.5555556E-5,1.1111111E-4
47,0.8463333,0.14033334,0.013166667,5.5555556E-5,1.1111111E-4
